Title,Group audio,Violin audio,Singing audio,Guitar audio,Percussion audio,Music score,Lyrics,Translations,Plurilingual songs,History,Videos,Beneficiaries,Difficulty Level,Musical style,Style musical,Thèmes,Themes,Country/Geographic origin,Pays/origine géographique,Language of origin,Langue d'origine,IS A SONG,NEWSLETTER,,,,,,,,,,
CERCLE CIRCASSIEN,yes,no,NA,no,no,yes,NA,NA,NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional dance, Traditional music","
Danse traditionnelle, Musique traditionnelle",,,"Ecosse, Western Europe","Ecosse, Europe de l'Ouest",NA,NA,FALSE,,,,,,,,,,,
CHAMIL,yes,"Notes : yes
Scale : yes
Slow melody : yes
Original melody : yes",NA,"Notes : yes
Scale : yes
Chords : yes
Slow speed chords : yes
Original speed chords : yes
Slow melody : yes 
Original melody : yes",no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,Traditional music,Musique traditionnelle,,,"Caucasia, Eastern Europe, West Asia","Caucase, Europe de l'Est, Asie Ouest",NA,NA,TRUE,,,,,,,,,,,
CHANT D'AMOUR,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Traditional dance, Traditional music","
Danse traditionnelle, Musique traditionnelle",,,Southeastern Europe,Europe du Sud-Est,NA,NA,TRUE,,,,,,,,,,,
CHEMO TSITSINATELA,no,no,"Georgian lyrics in rhythm : yes
Notes : yes
Scale : yes
Georgian slow speed : yes
Georgian original speed : yes",no,no,no,Georgian : yes,no,NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,Traditional song,Chanson traditionnelle,,,"Georgia, Eastern Europe, Western Asia ","Géorgie, Eastern Europe, Western Asia ",Georgian,Géorgien,TRUE,,,,,,,,,,,
CHINARES,no,no,no,no,no,yes,Armenian : yes,"Armenian->English : yes
Armenian->French : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,"Traditional song, Traditional music",Chanson traditionnelle,,,"Armenia, Western Asia","Arménie, Asie de l'Ouest",Armenian,Arménien,TRUE,,,,,,,,,,,
CHOCOLAT CHAUD,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,Nursery rhyme,Comptine,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
CIGANOCHKA,yes,no,no,no,no,yes,Russian : yes,"Russian->English : yes
Russian->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,?,,,,"Russia, Eastern Europe","Russie, Europe de l'Est",Russian,Russe,TRUE,,,,,,,,,,,
CIGONO MEILE,no,no,no,no,no,no,Lithuanian : yes,"Lithuanian->French : yes
Lithuanian->English : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Traditional song,Chanson traditionnelle,,,"Lithuania, Northern Europe","Lituanie, Europe du nord",Lithuanian,Lituanien,TRUE,,,,,,,,,,,
COMME D'HABITUDE,no,no,no,no,no,no,"1. French : yes
2. English : yes","1. French->English : yes
2. English->French : yes","1. French : COMME D'HABITUDE
2. English : MY WAY",no,NA,"Teenagers 
Adults 
Seniors",Intermediate,French chanson,Chanson française,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
CULA JESAM,yes,"notes : yes
scale : yes
Slow speed voice : yes
Original speed : yes
","notes voice 1 : yes
notes voice 2 : yes
Scale : yes
Albanian Slow speed voice 1 : yes
Albanian Slow speed voice 2 : yes
Albanian Original speed : yes
Albanian Original speed voice 2 : yes","Notes : yes
Scale : yes
Chords : yes
Slow speed chords : yes
Original speed chords : yes
Slow melody : yes 
Original melody : yes",no,yes,BCMS : yes,"BCMS->English : yes
BCMS->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,?,,,"BCMS: Celebration, family, fruit, gratitude, joy, love, plant, strawberry, wedding","Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
